sample_index,true_dust_mg_m3,common_gain,dual_color_raw_mg_m3,dual_color_filtered_mg_m3,single_color_raw_mg_m3,single_color_filtered_mg_m3
173,59.38397771336855,0.9830755114649785,61.435566062027085,59.55771135362211,62.92878200769415,63.0131555821545
174,59.047688415472635,0.9866847970113949,56.308229781783005,59.58297647812336,61.86903540048064,61.96244986274777
175,58.874692501354566,0.9899592422344535,60.335324608132204,58.33885489842768,60.74426323441462,61.270706219205316
176,58.89608771849822,0.9930438640706464,60.25131533948234,57.64423633359745,60.24016781765927,60.43433649661991
177,59.13157487651813,0.9961016629725785,53.363838700713785,59.96708051612994,60.57128263577787,59.79883243547861
178,59.58852443130208,0.9993013449223891,57.96247323787589,60.06169952483317,58.74693339476719,59.62002027718582
179,60.261569857188135,1.002804690706856,67.92245069444549,60.405864921167435,58.69151509477409,59.79076237781677
180,61.132745101190686,1.0067542908595755,60.80841965164838,62.56015190321601,59.850202442950724,59.82013061247333
181,62.17216099899359,1.01126234504373,61.97214232115365,64.32927492287135,61.09387832081399,60.37209325111403
182,63.339193324632305,1.0164011669478454,64.13527361095667,63.76037847906895,60.71812380906061,60.47070251568831
183,64.58413405455705,1.02219594311068,66.80808833615257,64.14483643355257,61.50674658797072,60.509889717430745
184,65.85023831647828,1.0286201714825827,65.07796847543348,64.91342514156933,59.18456141764549,60.219718109928216
185,67.07608314732234,1.0355940595908963,62.73070942406645,65.43183920624698,60.046138451662905,60.16634676907927
186,68.19814127288369,1.0429860007894831,65.81508586123748,65.15353767848487,59.64302028330133,60.07069833186574
