wavelength_nm,blue_pilot_normalized_power,green_data_normalized_power,red_pilot_normalized_power
478.0,0.030871085015924945,0.08387954291022065,4.8198441319254106e-45
479.0,0.023973759890837196,0.09218406243364984,1.474669575482347e-44
480.0,0.018453010334836414,0.10112522908770041,4.484155085839485e-44
481.0,0.014078134649397724,0.1107304542520131,1.3551604124165795e-43
482.0,0.010645592071341942,0.12102595888217667,4.0702863748914536e-43
483.0,0.007978869137696798,0.1320364595362343,1.2150199356291692e-42
484.0,0.00592733782208442,0.14378483931962052,3.604674208490071e-42
485.0,0.004364402883094613,0.15629180612489096,1.0628520447880257e-41
486.0,0.0031852007107601747,0.16957554093095895,3.1146107875309116e-41
487.0,0.00230406957944172,0.18365133930792957,9.071078646882087e-41
488.0,0.0016519663326170382,0.19853124964086516,2.6256586152069394e-40
489.0,0.0011739608396918672,0.21422371193137119,7.553387470228097e-40
490.0,0.000826899719104031,0.2307332013519658,2.1595807410982913e-39
491.0,0.0005772964603312737,0.24805988100691978,6.136508017347459e-39
492.0,0.00039947698271489954,0.266199268586775,1.7329951365169102e-38
493.0,0.00027398793760787855,0.28514192178448117,4.864044725515952e-38
494.0,0.0001862592893935315,0.30487314746182315,1.356819114751695e-37
495.0,0.00012550217610547687,0.3253727396089221,3.761581922631327e-37
496.0,8.381685994807313e-05,0.3466147511212394,1.0364378717966439e-36
497.0,5.5482795298915545e-05,0.3685673043227753,2.8381817354277334e-36
498.0,3.6402574213729437e-05,0.391192444987251,7.724338648495368e-36
499.0,2.3672966015087482e-05,0.4144460443484613,2.0893278265357537e-35
500.0,1.5258789062500007e-05,0.4382777532455839,5.6166330207924e-35
501.0,9.748421081053307e-06,0.46263101211944496,1.5006163955740587e-34
502.0,6.1729862135725535e-06,0.4874431200635944,3.984625439142652e-34
503.0,3.874388348235755e-06,0.5126453655432613,1.0515489576831202e-33
504.0,2.4102262324491164e-06,0.5381632207312329,2.7580089361240468e-33
505.0,1.4861384957513797e-06,0.563916600679532,7.189290266614264e-33
506.0,9.082545350259826e-07,0.5898201877581899,1.8625182886921822e-32
507.0,5.501773183430473e-07,0.6157838209576849,4.795559139271015e-32
508.0,3.303274047954769e-07,0.641712948781452,1.227162665650765e-31
509.0,1.9657729044276196e-07,0.6675091435621704,3.120967131829194e-31
510.0,1.1594950525907111e-07,0.6930706741343035,7.888609052210105e-31
511.0,6.778775813884843e-08,0.7182931329003512,1.981690603289573e-30
512.0,3.928081216939855e-08,0.7430701124547906,4.947609837115259e-30
513.0,2.2560902160967893e-08,0.7672939260932761,1.2276631396533807e-29
514.0,1.2843378502206577e-08,0.7908563657508252,3.027521014558674e-29
515.0,7.24684407869198e-09,0.8136494901965167,7.420262924870841e-29
516.0,4.052895153398838e-09,0.8355664356780655,1.8074887363782194e-28
517.0,2.246614908725379e-09,0.8565022406708678,4.375786085737486e-28
518.0,1.2343511338619926e-09,0.8763546759547346,1.0528360427363922e-27
519.0,6.721955299546273e-10,0.8950250709279725,2.5176165401687477e-27
520.0,3.6282678118930323e-10,0.9124191268811999,5.983325091071605e-27
521.0,1.941108752727633e-10,0.9284477078987403,1.41325260470054e-26
522.0,1.0293124264479285e-10,0.94302760013769,3.3175781878515594e-26
523.0,5.409926688347002e-11,0.9560822304555002,7.740102594386434e-26
524.0,2.818268457388244e-11,0.9675423357152844,1.794718937118773e-25
525.0,1.455191522836691e-11,0.9773465745906602,4.13590306276519e-25
526.0,7.44740150651118e-12,0.9854420743128125,9.472583340568502e-25
527.0,3.777775941752355e-12,0.9917849055432328,2.1562082155241143e-24
528.0,1.8993912843019283e-12,0.9963404794055267,4.8779476569076904e-24
529.0,9.465411542071139e-13,0.999083861655931,1.0967502774315857e-23
530.0,4.67532039081593e-13,1.0,2.4507699573029493e-23
531.0,2.2889171336749797e-13,0.999083861655931,5.442789279408704e-23
532.0,1.1106969482306533e-13,0.9963404794055267,1.2013364970292815e-22
533.0,5.342049441577224e-14,0.9917849055432328,2.6353117579210927e-22
534.0,2.546636995137464e-14,0.9854420743128125,5.745442808679718e-22
535.0,1.2032974614762216e-14,0.9773465745906602,1.2449135386735013e-21
536.0,5.635413308158616e-15,0.9675423357152844,2.6808903526194933e-21
537.0,2.6159254437625122e-15,0.9560822304555002,5.737769420033618e-21
538.0,1.2035711441528452e-15,0.94302760013769,1.2204818042573248e-20
539.0,5.4886430518307965e-16,0.9284477078987403,2.580142570553783e-20
540.0,2.480875811610649e-16,0.9124191268811999,5.42101086242753e-20
541.0,1.1114549843773263e-16,0.8950250709279725,1.1319859290227523e-19
542.0,4.9354362533108567e-17,0.8763546759547346,2.3492322665667546e-19
543.0,2.1722311239216316e-17,0.8565022406708678,4.845460569552106e-19
544.0,9.476180690651256e-18,0.8355664356780655,9.932723548919975e-19
545.0,4.0973913894762906e-18,0.8136494901965167,2.0236053103613757e-18
546.0,1.7560156566026372e-18,0.7908563657508252,4.0973913894762906e-18
547.0,7.459266662728298e-19,0.7672939260932761,8.245429225840139e-18
548.0,3.1405860588848805e-19,0.7430701124547906,1.6490858451680308e-17
